Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
DocSumo,2019.0,Mumbai,Technology And Software,Platform helps to automate and analyse financial data,"Rushabh Sheth, Bikram Dahl","Better Capital, TechStars, Barclays.",220000.0,Series D,2020
CUSMAT,2016.0,Warangal,Technology And Software,It builds high immersion training systems for enterprises,"Abhinav Ayan, Anirban Jyoti Chakravorty, Soumyaranjan Harichandan","Venture Catalysts,  Raveen Sastry",4000000.0,Private Equity,2020
Chingari,2018.0,Bangalore,Media And Entertainment,Short video platform,"Biswatma Nayak, Siddharth Gautam","AngelList India, Utsav Somani, Village Global, LogX Ventures, Jasminder Singh Gulati",1300000.0,Series E,2020
Bolo Indya,2018.0,Gurugram,Media And Entertainment,User-generated content platform,Varun Saxena,"Eagle10 Ventures, India Accelerator, HNIs",300000.0,Series D,2020
Data Sutram,2018.0,Kolkata,Technology And Software,Platform gathers intel from external data to provide location-based data intelligence.,"Rajit Bhattacharya, Aisik Paul, Ankit Das","Uday Sodhi, Mitesh Shah, Nitin Jain",266500.0,Series E,2020
Wobot Intelligence,2018.0,Delhi,Technology And Software,AI backed video analytics platform,"Adit Chhabra, Tapan Dixit,Tanay Dixit.",Sequoia Capital India,2500000.0,Seed Round,2020
DrinkPrime,2018.0,Bangalore,Energy And Environment,Subscription-based Water purifier startup,"Viijender Reddy, Manas Ranjan Hota",Sequoia Surge,2879000.0,Series F,2020
Infeedo,2013.0,Gurugram,Human Resources And Consultancy,An employee engagement HR analytics platform,"Tanmaya Jain, Varun Puri",Y Combinator,700000.0,Pre-Seed,2020
Probus Smart Things,2013.0,Delhi,Technology And Software,Platform for monitoring distribution sub-station performance and operations,Saurabh Saxena,Unicorn India Ventures,4000000.0,Series A+,2020
CrowdPouch,2013.0,Bangalore,Technology And Software,A reward-based fundraising and preselling platform,Vittal Ramakrishna,Elina Investments,4000000.0,Series E,2020
Rebel Foods,2011.0,Mumbai,Consumer Goods And Services,Cloud kitchen platform,"Jaydeep Barman, Kallol Bannerjee",Coatue Management,26500000.0,Series C,2020
Hevo,2017.0,Bangalore,Technology And Software,Data pipeline startup,"Manish Jethani, Sourabh Agarwal","Qualgro, Lachy Groom",8000000.0,Series A,2020
BigSpoon Foods,2019.0,Ahmedabad,Consumer Goods And Services,Cloud kitchen startup,"Kapil Mathrani, Rohan Bhatt, Poojan Thakkar","Urmin Family Office, Lemonade Ventures, TrueValue Group MD Yash Shah",2000000.0,Series D1,2020
Chingari,2019.0,Bangalore,Media And Entertainment,Homegrown short video platform,Sumit Ghosh,"LogX Ventures, AngelList’s Utsav Somani, NowFloats’ Jasminder Singh Gulati, AL Trust (Vistra ITCL), Village Global.",1000000.0,Seed Round,2020
ShareChat,2015.0,Bangalore,Media And Entertainment,Indian social network platform,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","All About Inc, Beenext Pte Led, Beenos Asia, DG Ventures, Kanamori Assagement Singapore, Rebright Partners I, Rebright Partners II, Tetsuro Koda",351000.0,Bridge,2020
DatStop,2015.0,Delhi,Consumer Goods And Services,It offers urban social space,Dhruvin Shah,"Shabir Momin, OneDigital Entertainment,  Saurabh Pathak.",4000000.0,Series F,2020
IPHM Services,2015.0,Mumbai,Healthcare And Health Technology,It helps design programs and workshops for the psychological well-being of individuals,Dr. Sachin Bhavsar,Indian Angel Fund,4000000.0,Seed Round,2020
Wellcure,2015.0,Gurugram,Healthcare And Health Technology,It caters to all health and wellness needs,"Sumeet Kapur, Ankur Bhatia, Aanchal Kapur",Inflection Point Ventures,200000.0,Series C,2020
VilCart,2018.0,Bangalore,E-Commerce And Retail,"Retail industry in rural India through technology, supply chain, and logistics facilities.","Prasanna Kumar, Mahesh Bhat, Rajasekhar, Amith S Mali",Elevation Capital,4000000.0,Series I,2020
Firescore,2018.0,Mumbai,Consumer Goods And Services,Game development studio,"Karan Khairajani, Surojit Roy",Crazy Labs,500000.0,Venture - Series Unknown,2020
BulBul,2018.0,Gurgaon,E-Commerce And Retail,A video and livestream led commerce platform that makes online shopping engaging,"Sachin Bhatia, Atit Jain",Info Edge,4000000.0,Series D1,2020
Toppr,2013.0,Mumbai,Education And Learning,It provides AI-based after school learning app for K12,Zishaan Hayath,Foundation Holdings,46761000.0,Series D,2020
Pickright Technologies,2019.0,Bangalore,Finance,Marketplace for stock market investors and advisors,"Archana Elapavuluri, Namandeep Bhatia, Siddharth Panjwani","Sanjay Mehta, Vikram Pandya, Gaurav Gupta, Vivel Srivatsav, Madhavi Bollipalli, Srinivas Paanem, Satish Bogullu",175000.0,Seed Round,2020
Muse Wearables,2018.0,Chennai,Technology And Software,It sells the world’s first payment-enabled hybrid smartwatches,"K.L.N Sai Prasanth, Yathindra Ajay K.A, K. Prathyusha",Dr. Bhaskar Rao Bollineni,3000000.0,Series G,2020
SATYA Microcapital,1995.0,Delhi,Finance,Microfinance company that offers collateral-free credit to micro enterprises,Vivek Tiwari,We Founder Circle,4000000.0,Series H,2020
WYN Studio,1995.0,Gurugram,Media And Entertainment,It creates video content and podcasts,"Bijay Gautam, Souniya Khurana",India Angel Fund,4000000.0,Seed Round,2020
Fourth Partner Energy,2010.0,Bangalore,Energy And Environment,Largest startup in the distributed solar sector,Saif Dhorajiwala,ResponsAbility Investments AG,15000000.0,Private Equity,2020
